[Train] Epoch 0163 | Total Loss 1.711281 | Image Acc 35.341463 | Text Acc 35.341463
[Train] Epoch 0164 | Total Loss 1.715167 | Image Acc 35.000000 | Text Acc 35.000000
[Train] Epoch 0165 | Total Loss 1.700851 | Image Acc 35.585366 | Text Acc 35.585366
[Train] Epoch 0166 | Total Loss 1.704771 | Image Acc 35.682927 | Text Acc 35.682927
[Train] Epoch 0167 | Total Loss 1.706831 | Image Acc 35.658537 | Text Acc 35.682927
[Train] Epoch 0168 | Total Loss 1.714557 | Image Acc 35.463415 | Text Acc 35.512195
[Train] Epoch 0169 | Total Loss 1.711963 | Image Acc 35.634146 | Text Acc 35.634146
[Train] Epoch 0170 | Total Loss 1.717873 | Image Acc 35.512195 | Text Acc 35.512195
[Train] Epoch 0171 | Total Loss 1.707702 | Image Acc 35.439024 | Text Acc 35.463415
[Train] Epoch 0172 | Total Loss 1.709704 | Image Acc 35.487805 | Text Acc 35.512195
[Train] Epoch 0173 | Total Loss 1.714824 | Image Acc 35.219512 | Text Acc 35.292683
[Train] Epoch 0174 | Total Loss 1.699909 | Image Acc 36.024390 | Text Acc 36.024390
[Train] Epoch 0175 | Total Loss 1.703857 | Image Acc 35.731707 | Text Acc 35.731707
[Train] Epoch 0176 | Total Loss 1.708527 | Image Acc 35.707317 | Text Acc 35.707317
[Train] Epoch 0177 | Total Loss 1.712497 | Image Acc 35.268293 | Text Acc 35.268293
[Train] Epoch 0178 | Total Loss 1.699336 | Image Acc 35.902439 | Text Acc 35.926829
[Train] Epoch 0179 | Total Loss 1.714564 | Image Acc 35.536585 | Text Acc 35.634146
[Train] Epoch 0180 | Total Loss 1.715170 | Image Acc 35.463415 | Text Acc 35.512195
[Train] Epoch 0181 | Total Loss 1.703826 | Image Acc 35.560976 | Text Acc 35.585366
[Train] Epoch 0182 | Total Loss 1.713336 | Image Acc 35.585366 | Text Acc 35.634146
[Train] Epoch 0183 | Total Loss 1.716054 | Image Acc 35.487805 | Text Acc 35.463415
[Train] Epoch 0184 | Total Loss 1.711502 | Image Acc 35.317073 | Text Acc 35.292683
[Train] Epoch 0185 | Total Loss 1.718491 | Image Acc 35.390244 | Text Acc 35.365854
[Train] Epoch 0186 | Total Loss 1.703182 | Image Acc 35.878049 | Text Acc 35.878049
[Train] Epoch 0187 | Total Loss 1.717947 | Image Acc 35.682927 | Text Acc 35.634146
[Train] Epoch 0188 | Total Loss 1.719350 | Image Acc 35.512195 | Text Acc 35.536585
[Train] Epoch 0189 | Total Loss 1.716476 | Image Acc 35.390244 | Text Acc 35.487805
[Train] Epoch 0190 | Total Loss 1.720292 | Image Acc 35.365854 | Text Acc 35.390244
[Train] Epoch 0191 | Total Loss 1.714189 | Image Acc 35.365854 | Text Acc 35.341463
[Train] Epoch 0192 | Total Loss 1.715629 | Image Acc 35.536585 | Text Acc 35.536585
[Train] Epoch 0193 | Total Loss 1.704177 | Image Acc 35.951220 | Text Acc 35.926829
[Train] Epoch 0194 | Total Loss 1.710374 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0195 | Total Loss 1.708629 | Image Acc 35.439024 | Text Acc 35.439024
[Train] Epoch 0196 | Total Loss 1.694577 | Image Acc 35.829268 | Text Acc 35.829268
[Train] Epoch 0197 | Total Loss 1.706147 | Image Acc 35.609756 | Text Acc 35.658537
[Train] Epoch 0198 | Total Loss 1.706393 | Image Acc 35.878049 | Text Acc 35.902439
[Train] Epoch 0199 | Total Loss 1.707892 | Image Acc 35.682927 | Text Acc 35.682927
